model,fold,accuracy,balanced_accuracy,cohen_kappa,f1_macro,f1_weighted,roc_auc_ovr
Logistic Regression,1,0.855072463768116,0.8530725451408397,0.8307190918262914,0.8510287758545748,0.8530317678315771,0.9801441164797652
Random Forest,1,0.9264214046822743,0.9243624587087623,0.914069859424781,0.9250312452057791,0.9272434906949547,0.9936433548855887
XGBoost,1,0.9442586399108138,0.9441141991891058,0.9349102893988671,0.9434933427268785,0.9442291034073995,0.9970399408205038
MLP,1,0.9498327759197325,0.947216843968488,0.9414074407397193,0.946475055014529,0.94923881407884,0.9965166773741517
Logistic Regression,2,0.8584169453734671,0.8568089742342598,0.8347359334991985,0.8527701224545635,0.8560390377204546,0.9801505351642872
Random Forest,2,0.9297658862876255,0.927915960202377,0.9179689881520922,0.928521970858353,0.9303170703939546,0.9919870807986108
XGBoost,2,0.9409141583054627,0.9392616834523466,0.9309765580763278,0.9399286734755902,0.9410669551052673,0.9955005391405237
MLP,2,0.9375696767001115,0.9361869630217635,0.9270977255047661,0.9353246418329393,0.9372714989027218,0.9964733571977976
